triplet,outgroup,C1,C2,mixprop1,mixprop2,lambda2Dist,lambda1Dist,BIC2Dist,BIC1Dist,count
NHKG_16_01_R_196_DEB_1135_PET0495,NHKG_16_01_R_196,0.0,4.0912593523948955,0.9390740298157523,0.060925970184247606,0.0016768592281943939,0.002206794007862903,-15157.183856054104,-15218.549139606368,1488
NHKG_16_01_R_196_DEB_1135_PET0495,DEB_1135,0.0,4.275367520855736,0.9292263126997788,0.0707736873002212,0.0013243008869718755,0.0017891868809726962,-12434.785353284125,-12477.063513038496,1172
NHKG_16_01_R_196_DEB_1135_PET0495,PET0495,0.0,4.853607864363202,0.9320159350940397,0.06798406490596035,0.000929832019009248,0.0012674498865979382,-6581.7082965518575,-6594.384621152609,582
NHKG_16_01_R_196_DEB_1135_PAR_posas_01,NHKG_16_01_R_196,0.0,4.2625850531192615,0.9475709096483811,0.052429090351618884,0.0012014293993388887,0.001550643967996109,-11197.035489705,-11237.503330153344,1028
NHKG_16_01_R_196_DEB_1135_PAR_posas_01,DEB_1135,0.0,4.042571872293742,0.9317207443421532,0.06827925565784673,0.0012459310951328012,0.001671574877711443,-10785.770539963602,-10835.005260525579,1005
NHKG_16_01_R_196_DEB_1135_PAR_posas_01,PAR_posas_01,0.0,3.8022539443917402,0.9043613755658838,0.09563862443411639,0.0013239565462020476,0.0018702901153019025,-12695.3928479918,-12763.960485941285,1209
NHKG_16_01_R_196_DEB_1135_ARG0295,NHKG_16_01_R_196,0.0,4.7639610354032795,0.9622279671256259,0.03777203287437421,0.0013682815521702098,0.0016945378025233645,-11481.979139433566,-11506.963438645207,1070
NHKG_16_01_R_196_DEB_1135_ARG0295,DEB_1135,0.0,4.400763888821212,0.9465539272141433,0.053446072785856585,0.0011695083240147663,0.0015163036873958335,-10503.309687944326,-10536.774072134596,960
NHKG_16_01_R_196_DEB_1135_ARG0295,ARG0295,0.0,3.0306382220644945,0.8846523502386344,0.11534764976136538,0.0013146494923059187,0.001858532278877888,-12713.37636368454,-12810.934889962386,1212
NHKG_16_01_R_196_PET0424_PET0495,NHKG_16_01_R_196,0.0,2.453922228464409,0.770707131921096,0.22929286807890395,0.0020687004425469007,0.003151592921493213,-20860.053931332528,-21030.824161734985,2210
NHKG_16_01_R_196_PET0424_PET0495,PET0424,0.0,3.2713410690570375,0.8698511449005003,0.13014885509949978,0.0008059288360170774,0.0011764442100580272,-5888.920848997648,-5934.349526532234,517
NHKG_16_01_R_196_PET0424_PET0495,PET0495,0.0,4.25082249922996,0.913953102438497,0.086046897561503,0.0009805074196240914,0.0013815726477669902,-5722.942331975367,-5745.824646797176,515
NHKG_16_01_R_196_PET0424_PAR_posas_01,NHKG_16_01_R_196,0.0,3.1165099931487457,0.8691191346334767,0.13088086536652335,0.0011775644256132,0.0017096478647874306,-11528.024292246004,-11616.869875435814,1082
NHKG_16_01_R_196_PET0424_PAR_posas_01,PET0424,0.0,4.113279042759337,0.9061814853613432,0.0938185146386569,0.0009090071354584646,0.0012933310330612245,-8263.43850287704,-8299.685392589792,735
NHKG_16_01_R_196_PET0424_PAR_posas_01,PAR_posas_01,0.0,3.477444207009337,0.8821653327309122,0.11783466726908771,0.0014444775245783012,0.0021013373712982456,-14613.656302371564,-14713.504759314357,1425
NHKG_16_01_R_196_PET0424_ARG0295,NHKG_16_01_R_196,0.0,3.7680584468949014,0.9472086461235446,0.052791353876455456,0.001275739765650742,0.0016219048316455697,-11933.868477676348,-11991.220139437319,1106
