P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
H_laciniatus	H_atrorubens	H_agrestis	0.11712	1.14111	0.126912	0.0269921	72.4837	81.1623	64.144
H_longifolius	H_atrorubens	H_agrestis	0.144243	1.32928	0.0918781	0.0218833	141.127	60.9548	45.5869
H_maximiliani	H_atrorubens	H_agrestis	0.122348	1.61487	0.0531699	0.0290394	115.539	109.449	85.5869
H_microcephalus	H_atrorubens	H_agrestis	0.148721	1.85821	0.0315693	0.0330419	118.646	103.512	76.7095
H_atrorubens	H_mollis	H_agrestis	0.0187925	0.211988	0.416058	0.00400899	139.872	82.6958	79.645
H_agrestis	H_atrorubens	H_niveus	0.0829131	0.839027	0.200727	0.0201955	143.975	86.7508	73.4667
H_nuttalli	H_atrorubens	H_agrestis	0.108983	0.726289	0.233831	0.029451	30.5571	29.9214	24.0405
H_occidentalis	H_atrorubens	H_agrestis	0.25094	2.89237	0.00191171	0.0538088	111.987	95.5381	57.2079
H_atrorubens	H_agrestis	H_petiolaris	0.0840388	0.963892	0.16755	0.0299679	131.655	97.0619	82.0127
H_atrorubens	H_agrestis	H_porteri	0.0870099	0.875175	0.190739	0.0232031	147.73	72.0476	60.5135
H_atrorubens	H_agrestis	H_praecox	0.0534706	0.579357	0.281174	0.0212734	134.003	96.2577	86.4863
H_radula	H_atrorubens	H_agrestis	0.24568	2.1727	0.0149015	0.0417896	157.127	80.0631	48.4821
H_salicifolius	H_atrorubens	H_agrestis	0.163036	1.54335	0.0613726	0.0364907	97.6762	89.6048	64.4829
H_atrorubens	H_silphioides	H_agrestis	0.0463901	0.381348	0.351473	0.00645714	194.964	50.6175	46.1294
H_verticillatus	H_atrorubens	H_agrestis	0.0886414	0.955355	0.169699	0.0202715	96.3718	88.3603	73.971
H_cusickii	H_carnosus	H_agrestis	0.123004	1.17894	0.11921	0.0269544	89.4929	87.431	68.2782
H_agrestis	H_carnosus	H_debilis	0.047819	0.43703	0.331045	0.0146253	95.9595	75.3405	68.4639
H_carnosus	H_divaricatus	H_agrestis	0.00104703	0.00959553	0.496172	0.000250128	82.7143	70.5679	70.4202
H_agrestis	H_carnosus	H_exilis	0.10552	0.810085	0.208946	0.0225247	89.2738	64.7571	52.3952
H_carnosus	H_floridanus	H_agrestis	0.170887	1.73926	0.0409949	0.0329836	109.199	75.0083	53.1139
H_giganteus	H_carnosus	H_agrestis	0.181382	2.001	0.0226959	0.0455649	71.7111	97.8238	67.7853
H_gracilentus	H_carnosus	H_agrestis	0.0883686	0.793512	0.21374	0.0197762	57.8262	76.5929	64.1552
H_grosseserratus	H_carnosus	H_agrestis	0.22197	2.44338	0.00727521	0.0501243	91.5119	88.0262	56.0464
H_carnosus	H_heterophyllus	H_agrestis	0.120471	1.07686	0.140771	0.0247568	113.314	75.0986	58.9496
H_laciniatus	H_carnosus	H_agrestis	0.14499	1.42439	0.0771673	0.0347808	50.4333	73.9452	55.2179
H_longifolius	H_carnosus	H_agrestis	0.190865	1.56942	0.0582755	0.0248185	136.038	47.6155	32.3524
H_maximiliani	H_carnosus	H_agrestis	0.128807	1.40825	0.079528	0.0311428	89.9048	96.9748	74.8435
H_microcephalus	H_carnosus	H_agrestis	0.112396	1.2019	0.114702	0.0263669	91.203	89.7315	71.5986
H_carnosus	H_mollis	H_agrestis	0.00299501	0.0303904	0.487878	0.000682995	96.0488	75.35	74.9
H_agrestis	H_carnosus	H_niveus	0.208412	1.73004	0.0418112	0.0494373	113.104	77.7405	50.925
H_nuttalli	H_carnosus	H_agrestis	0.315918	1.73601	0.0412809	0.0808468	22.5333	31.9643	16.6167
H_occidentalis	H_carnosus	H_agrestis	0.269874	2.49498	0.00629824	0.0574178	81.6024	82.4012	47.3774
H_carnosus	H_agrestis	H_petiolaris	0.0137289	0.126886	0.449515	0.00532813	108.33	80.2413	78.0679
H_agrestis	H_carnosus	H_porteri	0.112753	0.93703	0.174372	0.0312574	107.96	67.8429	54.094
H_agrestis	H_carnosus	H_praecox	0.0357903	0.348002	0.363919	0.0149304	109.066	84.2721	78.4483
H_radula	H_carnosus	H_agrestis	0.243948	2.26755	0.0116782	0.0332458	168.107	56.6127	34.4083
H_salicifolius	H_carnosus	H_agrestis	0.191681	1.66366	0.0480898	0.0437645	84.4833	81.9571	55.5917
H_carnosus	H_silphioides	H_agrestis	0.13735	1.17053	0.120894	0.0224538	130.633	55.8206	42.3385
H_verticillatus	H_carnosus	H_agrestis	0.188413	1.83583	0.0331915	0.0410239	72.5839	79.5145	54.3018
H_agrestis	H_cusickii	H_debilis	0.290203	3.17113	0.000759227	0.105233	98.0338	148.627	81.766
H_cusickii	H_divaricatus	H_agrestis	0.134419	1.44725	0.0739131	0.0289816	136.485	95.9245	73.1921
H_agrestis	H_cusickii	H_exilis	0.340427	3.22187	0.00063679	0.0850256	75.3358	119.207	58.6571
H_cusickii	H_floridanus	H_agrestis	0.22723	2.50275	0.0061617	0.0536702	123.386	126.36	79.5672
H_giganteus	H_cusickii	H_agrestis	0.103157	1.08354	0.139283	0.0207616	170.622	94.8793	77.1348
H_gracilentus	H_cusickii	H_agrestis	0.0910276	0.856918	0.195745	0.016644	137.904	81.7167	68.081
H_grosseserratus	H_cusickii	H_agrestis	0.08349	0.955852	0.169574	0.0147329	177.373	80.0953	67.7515
H_cusickii	H_heterophyllus	H_agrestis	0.0573013	0.640661	0.260872	0.0151388	95.0649	121.426	108.264
H_laciniatus	H_cusickii	H_agrestis	0.025372	0.242588	0.404162	0.00505959	116.527	72.0965	68.5286
H_cusickii	H_longifolius	H_agrestis	0.0768397	0.882843	0.18866	0.0184946	86.1762	100.968	86.5583
H_maximiliani	H_cusickii	H_agrestis	0.0363674	0.4293	0.333853	0.00686661	214.987	88.9473	82.7048
H_microcephalus	H_cusickii	H_agrestis	0.0155059	0.184732	0.42672	0.00310294	169.268	90.5861	87.8198
H_cusickii	H_mollis	H_agrestis	0.180353	2.2554	0.0120542	0.035164	129.064	99.8267	69.3204
H_agrestis	H_cusickii	H_niveus	0.442441	4.3886	5.70406e-06	0.122795	112.795	143.287	55.3861
H_cusickii	H_nuttalli	H_agrestis	0.0731569	0.437032	0.331044	0.0137575	48.3786	23.1995	20.0365
H_occidentalis	H_cusickii	H_agrestis	0.123364	1.2809	0.100114	0.0262248	118.791	92.6203	72.2777
H_agrestis	H_cusickii	H_petiolaris	0.301393	3.69781	0.000108734	0.130458	109.6	155.922	83.7012
H_cusickii	H_agrestis	H_porteri	0.0199339	0.198103	0.421482	0.00514652	157.1	71.1325	68.3521
H_agrestis	H_cusickii	H_praecox	0.313564	3.69462	0.00011011	0.151014	105.149	159.219	83.2041
H_radula	H_cusickii	H_agrestis	0.0405195	0.464215	0.321247	0.00966539	91.2232	103.411	95.3569
H_salicifolius	H_cusickii	H_agrestis	0.0813135	0.7321	0.232054	0.0139277	172.911	71.8419	61.037
H_cusickii	H_silphioides	H_agrestis	0.123135	1.29746	0.0972357	0.0298652	113.063	105.454	82.3308
H_verticillatus	H_cusickii	H_agrestis	0.0356224	0.326978	0.371842	0.00665753	166.227	76.0965	70.8615
H_agrestis	H_divaricatus	H_debilis	0.241434	2.54427	0.00547537	0.0929512	117.675	128.027	78.2296
H_debilis	H_exilis	H_agrestis	0.00597686	0.0511803	0.479591	0.000967716	146.936	57.57	56.8859
H_agrestis	H_floridanus	H_debilis	0.0789891	0.864349	0.193698	0.0249676	150.784	101.873	86.9571
H_agrestis	H_giganteus	H_debilis	0.193902	2.34138	0.00960626	0.0747246	107.888	134.155	90.5785
H_agrestis	H_gracilentus	H_debilis	0.0392235	0.373553	0.354368	0.0136823	102.266	105.338	97.3866
H_agrestis	H_grosseserratus	H_debilis	0.280654	3.13918	0.000847118	0.0961194	92.0198	124.433	69.8946
H_heterophyllus	H_agrestis	H_debilis	0.0544606	0.628041	0.264989	0.0179529	145.379	106.655	95.6383
H_agrestis	H_laciniatus	H_debilis	0.115825	1.10943	0.133621	0.0404227	78.4599	93.8979	74.4042
H_longifolius	H_agrestis	H_debilis	0.060975	0.543528	0.293383	0.0195169	113.051	86.9248	76.9336
H_agrestis	H_maximiliani	H_debilis	0.265587	3.35647	0.000394725	0.106473	107.983	157.109	91.1695
H_agrestis	H_microcephalus	H_debilis	0.140328	1.55349	0.0601531	0.0518094	109.61	127.583	96.1828
H_agrestis	H_mollis	H_debilis	0.0945775	0.940243	0.173547	0.0284886	128.758	95.1334	78.6933
H_niveus	H_debilis	H_agrestis	0.2121	2.3291	0.00992679	0.0316159	207.541	82.3981	53.5611
H_agrestis	H_nuttalli	H_debilis	0.208534	1.32869	0.0919743	0.0786435	32.2117	37.9667	24.8643
H_agrestis	H_occidentalis	H_debilis	0.0752483	0.744673	0.228235	0.0280915	98.6014	98.8289	84.9964
H_petiolaris	H_debilis	H_agrestis	0.102655	1.25824	0.104152	0.014296	255.025	67.324	54.7886
H_agrestis	H_debilis	H_porteri	0.0673001	0.692507	0.24431	0.0191172	135.837	80.6292	70.4609
H_praecox	H_debilis	H_agrestis	0.0537652	0.715049	0.23729	0.00686087	344.338	60.4439	54.276
H_radula	H_agrestis	H_debilis	0.0463923	0.504268	0.307037	0.0154115	107.148	97.7665	89.0974
H_agrestis	H_salicifolius	H_debilis	0.146083	1.60427	0.0543276	0.0566063	81.8094	113.374	84.4723
H_agrestis	H_silphioides	H_debilis	0.144836	1.43841	0.0751593	0.0507378	119.871	109.14	81.5247
H_agrestis	H_verticillatus	H_debilis	0.215798	2.39218	0.00837426	0.0833174	82.597	123.471	79.6401
H_agrestis	H_divaricatus	H_exilis	0.354587	3.34582	0.000410204	0.0970654	104.319	111.418	53.0869
H_divaricatus	H_floridanus	H_agrestis	0.165744	1.62697	0.0518712	0.0349687	123.859	90.273	64.6032
H_giganteus	H_divaricatus	H_agrestis	0.261669	2.69065	0.00356562	0.0484879	167.28	86.7099	50.7429
H_gracilentus	H_divaricatus	H_agrestis	0.141702	1.37754	0.0841723	0.0346494	110.233	100.536	75.5798
H_grosseserratus	H_divaricatus	H_agrestis	0.226607	2.21569	0.0133564	0.0397541	171.828	77.8333	49.075
H_heterophyllus	H_divaricatus	H_agrestis	0.114928	1.24105	0.107294	0.0270435	99.0702	98.5202	78.209
H_laciniatus	H_divaricatus	H_agrestis	0.19687	1.80294	0.0356986	0.0379741	86.2619	70.9746	47.6258
H_divaricatus	H_longifolius	H_agrestis	0.050816	0.494335	0.310535	0.0121888	83.3893	82.1	74.1595
H_maximiliani	H_divaricatus	H_agrestis	0.184079	1.95673	0.0251893	0.035601	201.196	89.2823	61.5224
H_microcephalus	H_divaricatus	H_agrestis	0.149826	1.68809	0.0456966	0.0261274	215.366	76.9998	56.9331
H_divaricatus	H_mollis	H_agrestis	0.0564054	0.692773	0.244226	0.0112671	139.823	75.1716	67.1442
H_agrestis	H_divaricatus	H_niveus	0.312861	3.07108	0.00106644	0.0925289	131.496	122.398	64.0619
H_nuttalli	H_divaricatus	H_agrestis	0.363683	2.13597	0.0163408	0.0859602	52.6357	31.9167	14.8929
H_occidentalis	H_divaricatus	H_agrestis	0.201708	1.85061	0.032113	0.0384885	124.581	74.5631	49.5321
H_agrestis	H_divaricatus	H_petiolaris	0.213224	2.37708	0.00872521	0.0963513	126.385	130.165	84.4119
H_divaricatus	H_agrestis	H_porteri	0.0807229	0.748366	0.22712	0.0199534	146.581	61.1282	51.9964
H_agrestis	H_divaricatus	H_praecox	0.281735	3.14289	0.000836433	0.137581	124.302	136.11	76.2742
H_radula	H_divaricatus	H_agrestis	0.0912501	0.983263	0.162739	0.0221067	78.456	92.7075	77.2032
H_salicifolius	H_divaricatus	H_agrestis	0.167091	1.51221	0.0652403	0.0343898	158.19	80.4786	57.4345
H_divaricatus	H_silphioides	H_agrestis	0.0773852	0.732479	0.231938	0.0180956	111.312	81.9762	70.2
H_verticillatus	H_divaricatus	H_agrestis	0.117998	1.1347	0.128252	0.0225894	197.333	73.5567	58.0298
H_agrestis	H_floridanus	H_exilis	0.187054	1.79936	0.0359806	0.0401355	129.978	89.0187	60.9639
H_agrestis	H_giganteus	H_exilis	0.206449	1.95851	0.0250853	0.0599929	84.1956	114.286	75.1726
H_agrestis	H_gracilentus	H_exilis	0.335318	3.10131	0.000963337	0.0917193	74.273	118.347	58.9095
H_agrestis	H_grosseserratus	H_exilis	0.353861	3.30693	0.00047163	0.104231	72.8262	132.044	63.019
H_agrestis	H_heterophyllus	H_exilis	0.012412	0.125459	0.45008	0.00291787	121.323	81.5915	79.5909
H_agrestis	H_laciniatus	H_exilis	0.251265	2.13802	0.0162575	0.0687749	71.7341	90.7857	54.3246
H_longifolius	H_agrestis	H_exilis	0.00641326	0.0521059	0.479222	0.00136513	89.0702	63.8917	63.0774
H_agrestis	H_maximiliani	H_exilis	0.394016	4.08774	2.17795e-05	0.116819	74.0671	145.269	63.1488
H_agrestis	H_microcephalus	H_exilis	0.28134	2.69221	0.00354901	0.0739026	83.7206	119.089	66.7929
H_agrestis	H_mollis	H_exilis	0.21912	2.2611	0.0118767	0.0462724	95.352	86.2619	55.2532
H_niveus	H_exilis	H_agrestis	0.28046	2.37579	0.00875576	0.0403129	154.821	67.2417	37.7857
H_agrestis	H_nuttalli	H_exilis	0.389122	2.42936	0.00756279	0.102479	26.5762	37.0333	16.2857
H_agrestis	H_occidentalis	H_exilis	0.0178149	0.149148	0.440718	0.00432971	78.2857	71.45	68.9488
H_petiolaris	H_exilis	H_agrestis	0.117762	1.18895	0.117229	0.0197813	179.011	67.2948	53.1151
