P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
H_arizonensis	H_microcephalus	H_agrestis	0.01853	0.216754	0.4142	0.00407635	130.662	88.2411	85.0304
H_agrestis	H_arizonensis	H_mollis	0.0574019	0.638644	0.261527	0.0313422	62.5901	104.85	93.4663
H_niveus	H_agrestis	H_arizonensis	0.142494	1.71623	0.0430599	0.0515485	65.5226	117.226	87.9849
H_arizonensis	H_nuttalli	H_agrestis	0.0698552	0.391684	0.347646	0.0139573	30.4167	20.931	18.1976
H_occidentalis	H_arizonensis	H_agrestis	0.038014	0.401268	0.344112	0.00836336	90.4476	77.5298	71.8512
H_agrestis	H_petiolaris	H_arizonensis	0.0685363	0.844562	0.199178	0.0255276	77.4631	105.578	92.0345
H_arizonensis	H_agrestis	H_porteri	0.0749247	0.623652	0.266428	0.0187097	129.813	63.8401	54.9405
H_agrestis	H_praecox	H_arizonensis	0.0979692	1.33929	0.0902376	0.0369734	76.9431	116.014	95.3104
H_radula	H_arizonensis	H_agrestis	0.0525936	0.635547	0.262536	0.0124054	66.375	93.0718	83.771
H_salicifolius	H_arizonensis	H_agrestis	0.0454457	0.397345	0.345557	0.00830981	125.065	63.7821	58.2369
H_agrestis	H_arizonensis	H_silphioides	0.0188933	0.193087	0.423445	0.00913842	60.5452	94.2575	90.7619
H_verticillatus	H_arizonensis	H_agrestis	0.0321529	0.315966	0.376014	0.00646234	124.605	70.8841	66.4679
H_carnosus	H_atrorubens	H_agrestis	0.0427545	0.375557	0.353623	0.00763332	127.262	57.7409	53.006
H_cusickii	H_agrestis	H_atrorubens	0.0270028	0.310826	0.377966	0.0144002	84.4705	107.462	101.811
H_atrorubens	H_agrestis	H_debilis	0.0257225	0.26133	0.396919	0.00858525	122.588	93.3617	88.6791
H_agrestis	H_divaricatus	H_atrorubens	0.0765636	0.778739	0.218067	0.0402116	71.3901	97.0798	83.2714
H_atrorubens	H_agrestis	H_exilis	0.0329255	0.297501	0.383042	0.00608073	97.2222	62.046	58.0905
H_atrorubens	H_floridanus	H_agrestis	0.180777	2.00533	0.0224637	0.0374071	137.538	93.3238	64.748
H_giganteus	H_agrestis	H_atrorubens	0.0331292	0.356354	0.360788	0.0192862	70.5401	100.596	94.1444
H_atrorubens	H_agrestis	H_gracilentus	0.0283215	0.271174	0.393128	0.00922655	105.926	72.0774	68.1071
H_agrestis	H_grosseserratus	H_atrorubens	0.0584453	0.614225	0.269533	0.0350829	61.527	107.776	95.8738
H_heterophyllus	H_atrorubens	H_agrestis	0.0188938	0.197774	0.421611	0.00405687	152.301	84.4081	81.2777
H_laciniatus	H_agrestis	H_atrorubens	0.0564842	0.534037	0.296658	0.0288055	64.144	81.1623	72.4837
H_longifolius	H_atrorubens	H_agrestis	0.144243	1.32928	0.0918781	0.0218833	141.127	60.9548	45.5869
H_agrestis	H_maximiliani	H_atrorubens	0.0270675	0.331227	0.370236	0.015511	85.5869	115.539	109.449
H_agrestis	H_microcephalus	H_atrorubens	0.068123	0.90427	0.182926	0.0401119	76.7095	118.646	103.512
H_atrorubens	H_mollis	H_agrestis	0.0187925	0.211988	0.416058	0.00400899	139.872	82.6958	79.645
H_agrestis	H_atrorubens	H_niveus	0.0829131	0.839027	0.200727	0.0201955	143.975	86.7508	73.4667
